Root,Type,Sub Type,Minor Head,Year,Values
Receipts,Revenue Receipts,Tax Revenue,Taxes and Duties on Electricity,2019-20,2693
Receipts,Revenue Receipts,Tax Revenue,Other Taxes on Income and Expenditure,2019-20,1140
Receipts,Revenue Receipts,Tax Revenue,Other Taxes and Duties on Commodities and Services,2019-20,34
Receipts,Revenue Receipts,Non Tax Revenue,Interest receipts,2019-20,895
Receipts,Revenue Receipts,Non Tax Revenue,Dividend and profits,2019-20,54
Receipts,Revenue Receipts,Non Tax Revenue,Nonferrous Mining and Metallurgical Industries,2019-20,3629
Receipts,Revenue Receipts,Non Tax Revenue,Medical and Public Health,2019-20,599
Receipts,Revenue Receipts,Non Tax Revenue,Other Administrative Services,2019-20,305
Receipts,Revenue Receipts,Non Tax Revenue,Forestry and Wild Life,2019-20,267
Receipts,Revenue Receipts,Non Tax Revenue,"Education, Sports and Culture",2019-20,183
Receipts,Revenue Receipts,Non Tax Revenue,Police,2019-20,308
Receipts,Revenue Receipts,Non Tax Revenue,Roads and Bridges ,2019-20,71
Receipts,Revenue Receipts,Non Tax Revenue,Other non-tax receipts,2019-20,1370
Receipts,Revenue Receipts,Stateï¿½s share of Union taxes and duties,,2019-20,30919
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Non plan grants,2019-20,0
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Grants for State Plan schemes,2019-20,0
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Grants for Central plan schemes,2019-20,0
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Grants for Centrally sponsored schemes,2019-20,12214
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Other transfers/Grants to States,2019-20,17593
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Finance Commission Grants,2019-20,4673
Receipts,Capital Receipts,Miscellaneous Capital Receipts,,2019-20,45
Receipts,Capital Receipts,Recoveries of Loans and  Advances,,2019-20,203
Receipts,Capital Receipts,Public Debt Receipts,Internal Debt (excluding Ways and Means Advances and Overdrafts),2019-20,49473
Receipts,Capital Receipts,Public Debt Receipts,Loans and Advances from Government of India,2019-20,675
Receipts,Contingency Fund Receipts,,,2019-20,0
Receipts,Public Account Receipts,,,2019-20,255638
Expenditure/Disbursements,Revenue Expenditure,General Services(including interest payments),,2019-20,48824
Expenditure/Disbursements,Revenue Expenditure,Social Services,,2019-20,66373
Expenditure/Disbursements,Revenue Expenditure,Economic Services,,2019-20,52636
Expenditure/Disbursements,Revenue Expenditure,Grants-in-aid and contributions,,2019-20,6425
Expenditure/Disbursements,Capital Expenditure,General Services,,2019-20,779
Expenditure/Disbursements,Capital Expenditure,Social Services,,2019-20,9192
Expenditure/Disbursements,Capital Expenditure,Economic Services,,2019-20,25559
Expenditure/Disbursements,Disbursements of Loans and  Advances,General Services,,2019-20,0
Expenditure/Disbursements,Disbursements of Loans and  Advances,Social Services,,2019-20,1061
Expenditure/Disbursements,Disbursements of Loans and  Advances,Economic Services,,2019-20,3002
Expenditure/Disbursements,Disbursements of Loans and  Advances,Miscellaneous Loans,,2019-20,6
Expenditure/Disbursements,Repayment of Public Debt,Internal Debt (excluding Ways and Means Advances and Overdrafts),,2019-20,8446
Expenditure/Disbursements,Repayment of Public Debt,Loans and Advances from Government of India,,2019-20,1424
Expenditure/Disbursements,Contingency Fund disbursements,,,2019-20,0
Expenditure/Disbursements,Public Account disbursements,,,2019-20,245292
Receipts,Revenue Receipts,Tax Revenue,State Goods and Service Tax,2020-21,37711
Receipts,Revenue Receipts,Tax Revenue,Taxes on Agricultural Income,2020-21,0
Receipts,Revenue Receipts,Tax Revenue,"Taxes on Sales, Trade, etc.",2020-21,16028
Receipts,Revenue Receipts,Tax Revenue,State Excise,2020-21,23332
Receipts,Revenue Receipts,Tax Revenue,Taxes on Vehicles,2020-21,5607
Receipts,Revenue Receipts,Tax Revenue,Stamps and Registration fees,2020-21,10576
Receipts,Revenue Receipts,Tax Revenue,Land Revenue,2020-21,184
Receipts,Revenue Receipts,Tax Revenue,Taxes on Goods and Passengers,2020-21,16
Receipts,Revenue Receipts,Tax Revenue,Taxes and Duties on Electricity,2020-21,2433
Receipts,Revenue Receipts,Tax Revenue,Other Taxes on Income and Expenditure,2020-21,1127
Receipts,Revenue Receipts,Tax Revenue,Other Taxes and Duties on Commodities and Services,2020-21,38
Receipts,Revenue Receipts,Non Tax Revenue,Interest receipts,2020-21,920
Receipts,Revenue Receipts,Non Tax Revenue,Dividend and profits,2020-21,81
Receipts,Revenue Receipts,Non Tax Revenue,Nonferrous Mining and Metallurgical Industries,2020-21,3893
Receipts,Revenue Receipts,Non Tax Revenue,Medical and Public Health,2020-21,419
Receipts,Revenue Receipts,Non Tax Revenue,Other Administrative Services,2020-21,388
Receipts,Revenue Receipts,Non Tax Revenue,Forestry and Wild Life,2020-21,276
Receipts,Revenue Receipts,Non Tax Revenue,"Education, Sports and Culture",2020-21,175
Receipts,Revenue Receipts,Non Tax Revenue,Police,2020-21,367
Receipts,Revenue Receipts,Non Tax Revenue,Roads and Bridges ,2020-21,50
Receipts,Revenue Receipts,Non Tax Revenue,Other non-tax receipts,2020-21,1325
Receipts,Revenue Receipts,Stateï¿½s share of Union taxes and duties,,2020-21,21694
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Non plan grants,2020-21,0
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Grants for State Plan schemes,2020-21,0
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Grants for Central plan schemes,2020-21,0
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Grants for Centrally sponsored schemes,2020-21,9852
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Other transfers/Grants to States,2020-21,14667
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Finance Commission Grants,2020-21,5557
Receipts,Capital Receipts,Miscellaneous Capital Receipts,,2020-21,45
Receipts,Capital Receipts,Recoveries of Loans and  Advances,,2020-21,270
Receipts,Capital Receipts,Public Debt Receipts,Internal Debt (excluding Ways and Means Advances and Overdrafts),2020-21,70414
Receipts,Capital Receipts,Public Debt Receipts,Loans and Advances from Government of India,2020-21,14114
Receipts,Contingency Fund Receipts,,,2020-21,0
Receipts,Public Account Receipts,,,2020-21,272457
Expenditure/Disbursements,Revenue Expenditure,General Services(including interest payments),,2020-21,55018
Expenditure/Disbursements,Revenue Expenditure,Social Services,,2020-21,61726
Expenditure/Disbursements,Revenue Expenditure,Economic Services,,2020-21,53629
Expenditure/Disbursements,Revenue Expenditure,Grants-in-aid and contributions,,2020-21,5681
Expenditure/Disbursements,Capital Expenditure,General Services,,2020-21,1206
Expenditure/Disbursements,Capital Expenditure,Social Services,,2020-21,11547
Expenditure/Disbursements,Capital Expenditure,Economic Services,,2020-21,32653
Expenditure/Disbursements,Disbursements of Loans and  Advances,General Services,,2020-21,0
Expenditure/Disbursements,Disbursements of Loans and  Advances,Social Services,,2020-21,1393
Expenditure/Disbursements,Disbursements of Loans and  Advances,Economic Services,,2020-21,1271
Expenditure/Disbursements,Disbursements of Loans and  Advances,Miscellaneous Loans,,2020-21,5
Expenditure/Disbursements,Repayment of Public Debt,Internal Debt (excluding Ways and Means Advances and Overdrafts),,2020-21,9611
Expenditure/Disbursements,Repayment of Public Debt,Loans and Advances from Government of India,,2020-21,1405
Expenditure/Disbursements,Contingency Fund disbursements,,,2020-21,0
Expenditure/Disbursements,Public Account disbursements,,,2020-21,266193
Receipts,Revenue Receipts,Non Tax Revenue,Interest receipts,2021-22,1315
Receipts,Revenue Receipts,Non Tax Revenue,Dividend and profits,2021-22,350
Receipts,Revenue Receipts,Non Tax Revenue,Nonferrous Mining and Metallurgical Industries,2021-22,6308
Receipts,Revenue Receipts,Non Tax Revenue,Medical and Public Health,2021-22,522
Receipts,Revenue Receipts,Non Tax Revenue,Other Administrative Services,2021-22,417
Receipts,Revenue Receipts,Non Tax Revenue,Forestry and Wild Life,2021-22,282
Receipts,Revenue Receipts,Non Tax Revenue,"Education, Sports and Culture",2021-22,287
Receipts,Revenue Receipts,Non Tax Revenue,Police,2021-22,500
Receipts,Revenue Receipts,Non Tax Revenue,Roads and Bridges ,2021-22,61
Receipts,Revenue Receipts,Non Tax Revenue,Other non-tax receipts,2021-22,1735
Receipts,Revenue Receipts,State’s share of Union taxes and duties,,2021-22,33284
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Non plan grants,2021-22,29962
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Grants for State Plan schemes,2021-22,0
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Grants for Central plan schemes,2021-22,0
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Grants for Centrally sponsored schemes,2021-22,12659
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Other transfers/Grants to States,2021-22,11064
Receipts,Revenue Receipts,Grants-in-aid from Government of  India,Finance Commission Grants,2021-22,6239
Receipts,Capital Receipts,Miscellaneous Capital Receipts,,2021-22,6
Receipts,Capital Receipts,Recoveries of Loans and  Advances,,2021-22,127
Receipts,Capital Receipts,Public Debt Receipts,Internal Debt (excluding Ways and Means Advances and Overdrafts),2021-22,60462
Receipts,Capital Receipts,Public Debt Receipts,Loans and Advances from Government of India,2021-22,20179
Receipts,Contingency Fund Receipts,,,2021-22,420
Receipts,Public Account Receipts,,,2021-22,328313
Expenditure/Disbursements,Revenue Expenditure,General Services(including interest payments),,2021-22,62669
Expenditure/Disbursements,Revenue Expenditure,Social Services,,2021-22,79804
Expenditure/Disbursements,Revenue Expenditure,Economic Services,,2021-22,60339
Expenditure/Disbursements,Revenue Expenditure,Grants-in-aid and contributions,,2021-22,6616
Expenditure/Disbursements,Capital Expenditure,General Services,,2021-22,940
Expenditure/Disbursements,Capital Expenditure,Social Services,,2021-22,13228
Expenditure/Disbursements,Capital Expenditure,Economic Services,,2021-22,33706
Expenditure/Disbursements,Disbursements of Loans and  Advances,General Services,,2021-22,0
Expenditure/Disbursements,Disbursements of Loans and  Advances,Social Services,,2021-22,2770
Expenditure/Disbursements,Disbursements of Loans and  Advances,Economic Services,,2021-22,1435
Expenditure/Disbursements,Disbursements of Loans and  Advances,Miscellaneous Loans,,2021-22,4
Expenditure/Disbursements,Repayment of Public Debt,Internal Debt (excluding Ways and Means Advances and Overdrafts),,2021-22,12560
Expenditure/Disbursements,Repayment of Public Debt,Loans and Advances from Government of India,,2021-22,1412
Expenditure/Disbursements,Contingency Fund disbursements,,,2021-22,0
Expenditure/Disbursements,Public Account disbursements,,,2021-22,313096
